Node,NumThreads,Load,Algorithm,Time
B,1,100,Algoritmo_1,4.557
,,,,
B,1,100,Algoritmo_1,6.586
,,,,
B,1,100,Algoritmo_1,6.113
,,,,
B,1,100,Algoritmo_1,5.982
,,,,
B,1,100,Algoritmo_1,6.633
,,,,
B,1,100,Algoritmo_1,5.150
,,,,
B,1,100,Algoritmo_1,4.560
,,,,
B,1,100,Algoritmo_1,7.113
,,,,
B,1,100,Algoritmo_1,7.864
,,,,
B,1,100,Algoritmo_1,7.871
,,,,
B,1,100,Algoritmo_1,6.721
,,,,
B,1,100,Algoritmo_1,4.552
,,,,
B,1,100,Algoritmo_1,4.580
,,,,
B,1,100,Algoritmo_1,7.325
,,,,
B,1,100,Algoritmo_1,8.526
,,,,
B,1,100,Algoritmo_1,6.772
,,,,
B,1,100,Algoritmo_1,7.806
,,,,
B,1,100,Algoritmo_1,4.567
,,,,
B,1,100,Algoritmo_1,8.574
,,,,
B,1,100,Algoritmo_1,7.630
,,,,
B,1,100,Algoritmo_1,4.587
,,,,
B,1,100,Algoritmo_1,4.553
,,,,
B,1,100,Algoritmo_1,6.594
,,,,
B,1,100,Algoritmo_1,7.847
,,,,
B,1,100,Algoritmo_1,7.902
,,,,
B,1,100,Algoritmo_1,6.259
,,,,
B,1,100,Algoritmo_1,4.535
,,,,
B,1,100,Algoritmo_1,4.535
,,,,
B,1,100,Algoritmo_1,4.537
,,,,
B,1,100,Algoritmo_1,4.543
,,,,
B,1,100,Algoritmo_1,7.875
,,,,
B,1,100,Algoritmo_1,4.541
,,,,
B,1,100,Algoritmo_1,4.566
,,,,
B,1,100,Algoritmo_1,4.550
,,,,
B,1,100,Algoritmo_1,6.735
,,,,
B,1,100,Algoritmo_1,7.893
,,,,
B,2,100,Algoritmo_1,4.141
,,,,
B,2,100,Algoritmo_1,3.610
,,,,
B,2,100,Algoritmo_1,3.456
,,,,
B,2,100,Algoritmo_1,4.092
,,,,
B,2,100,Algoritmo_1,4.166
,,,,
B,2,100,Algoritmo_1,4.136
,,,,
B,2,100,Algoritmo_1,4.112
,,,,
B,2,100,Algoritmo_1,3.381
,,,,
B,2,100,Algoritmo_1,4.087
,,,,
B,2,100,Algoritmo_1,3.766
,,,,
B,2,100,Algoritmo_1,3.448
,,,,
B,2,100,Algoritmo_1,3.088
,,,,
B,2,100,Algoritmo_1,2.434
,,,,
B,2,100,Algoritmo_1,3.549
,,,,
B,2,100,Algoritmo_1,2.467
,,,,
B,2,100,Algoritmo_1,2.449
,,,,
B,2,100,Algoritmo_1,4.093
,,,,
B,2,100,Algoritmo_1,4.121
,,,,
B,2,100,Algoritmo_1,3.570
,,,,
B,2,100,Algoritmo_1,3.394
,,,,
B,2,100,Algoritmo_1,4.115
,,,,
B,2,100,Algoritmo_1,4.082
,,,,
B,2,100,Algoritmo_1,3.327
,,,,
B,2,100,Algoritmo_1,3.330
,,,,
B,2,100,Algoritmo_1,3.233
,,,,
B,2,100,Algoritmo_1,2.375
,,,,
B,2,100,Algoritmo_1,4.060
,,,,
B,2,100,Algoritmo_1,3.490
,,,,
B,2,100,Algoritmo_1,3.365
,,,,
B,2,100,Algoritmo_1,2.527
,,,,
B,2,100,Algoritmo_1,2.456
,,,,
B,2,100,Algoritmo_1,2.381
,,,,
B,2,100,Algoritmo_1,2.408
,,,,
B,2,100,Algoritmo_1,4.070
,,,,
B,2,100,Algoritmo_1,3.825
,,,,
B,2,100,Algoritmo_1,3.510
,,,,
B,4,100,Algoritmo_1,2.191
,,,,
B,4,100,Algoritmo_1,1.858
,,,,
B,4,100,Algoritmo_1,2.011
,,,,
B,4,100,Algoritmo_1,2.003
,,,,
B,4,100,Algoritmo_1,1.984
,,,,
B,4,100,Algoritmo_1,2.051
,,,,
B,4,100,Algoritmo_1,1.844
,,,,
B,4,100,Algoritmo_1,1.972
,,,,
B,4,100,Algoritmo_1,1.835
,,,,
B,4,100,Algoritmo_1,1.928
,,,,
B,4,100,Algoritmo_1,2.036
,,,,
B,4,100,Algoritmo_1,2.058
,,,,
B,4,100,Algoritmo_1,2.079
,,,,
B,4,100,Algoritmo_1,1.967
,,,,
B,4,100,Algoritmo_1,2.042
,,,,
B,4,100,Algoritmo_1,2.007
,,,,
B,4,100,Algoritmo_1,2.031
,,,,
B,4,100,Algoritmo_1,2.017
,,,,
B,4,100,Algoritmo_1,2.051
,,,,
B,4,100,Algoritmo_1,2.009
,,,,
B,4,100,Algoritmo_1,1.969
,,,,
B,4,100,Algoritmo_1,1.999
,,,,
B,4,100,Algoritmo_1,1.959
,,,,
B,4,100,Algoritmo_1,1.821
,,,,
B,4,100,Algoritmo_1,1.846
,,,,
B,4,100,Algoritmo_1,1.891
,,,,
B,4,100,Algoritmo_1,1.865
,,,,
B,4,100,Algoritmo_1,1.869
,,,,
B,4,100,Algoritmo_1,2.008
,,,,
B,4,100,Algoritmo_1,1.981
,,,,
B,4,100,Algoritmo_1,2.012
,,,,
B,4,100,Algoritmo_1,1.939
,,,,
B,4,100,Algoritmo_1,1.988
,,,,
B,4,100,Algoritmo_1,1.937
,,,,
B,4,100,Algoritmo_1,2.064
,,,,
B,4,100,Algoritmo_1,1.873
,,,,
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,1,100,Algoritmo_2,5.833
,,,,
B,1,100,Algoritmo_2,8.209
,,,,
B,1,100,Algoritmo_2,6.781
,,,,
B,1,100,Algoritmo_2,5.114
,,,,
B,1,100,Algoritmo_2,4.673
,,,,
B,1,100,Algoritmo_2,8.103
,,,,
B,1,100,Algoritmo_2,6.744
,,,,
B,1,100,Algoritmo_2,4.923
,,,,
B,1,100,Algoritmo_2,4.719
,,,,
B,1,100,Algoritmo_2,4.686
,,,,
B,1,100,Algoritmo_2,4.676
,,,,
B,1,100,Algoritmo_2,4.693
,,,,
B,1,100,Algoritmo_2,4.688
,,,,
B,1,100,Algoritmo_2,4.677
,,,,
B,1,100,Algoritmo_2,4.708
,,,,
B,1,100,Algoritmo_2,4.694
,,,,
B,1,100,Algoritmo_2,4.686
,,,,
B,1,100,Algoritmo_2,4.681
,,,,
B,1,100,Algoritmo_2,4.663
,,,,
B,1,100,Algoritmo_2,4.693
,,,,
B,1,100,Algoritmo_2,4.686
,,,,
B,1,100,Algoritmo_2,4.672
,,,,
B,1,100,Algoritmo_2,5.827
,,,,
B,1,100,Algoritmo_2,7.111
,,,,
B,1,100,Algoritmo_2,7.986
,,,,
B,1,100,Algoritmo_2,4.665
,,,,
B,1,100,Algoritmo_2,4.688
,,,,
B,1,100,Algoritmo_2,5.089
,,,,
B,1,100,Algoritmo_2,4.690
,,,,
B,1,100,Algoritmo_2,8.133
,,,,
B,1,100,Algoritmo_2,7.499
,,,,
B,1,100,Algoritmo_2,4.672
,,,,
B,1,100,Algoritmo_2,4.680
,,,,
B,1,100,Algoritmo_2,4.677
,,,,
B,1,100,Algoritmo_2,4.685
,,,,
B,1,100,Algoritmo_2,7.684
,,,,
B,2,100,Algoritmo_2,3.609
,,,,
B,2,100,Algoritmo_2,3.502
,,,,
B,2,100,Algoritmo_2,4.155
,,,,
B,2,100,Algoritmo_2,3.412
,,,,
B,2,100,Algoritmo_2,3.460
,,,,
B,2,100,Algoritmo_2,3.421
,,,,
B,2,100,Algoritmo_2,2.430
,,,,
B,2,100,Algoritmo_2,2.492
,,,,
B,2,100,Algoritmo_2,4.130
,,,,
B,2,100,Algoritmo_2,3.852
,,,,
B,2,100,Algoritmo_2,4.194
,,,,
B,2,100,Algoritmo_2,3.595
,,,,
B,2,100,Algoritmo_2,3.181
,,,,
B,2,100,Algoritmo_2,2.484
,,,,
B,2,100,Algoritmo_2,2.420
,,,,
B,2,100,Algoritmo_2,2.422
,,,,
B,2,100,Algoritmo_2,2.461
,,,,
B,2,100,Algoritmo_2,2.529
,,,,
B,2,100,Algoritmo_2,4.214
,,,,
B,2,100,Algoritmo_2,3.549
,,,,
B,2,100,Algoritmo_2,4.518
,,,,
B,2,100,Algoritmo_2,3.568
,,,,
B,2,100,Algoritmo_2,3.571
,,,,
B,2,100,Algoritmo_2,2.462
,,,,
B,2,100,Algoritmo_2,2.471
,,,,
B,2,100,Algoritmo_2,2.443
,,,,
B,2,100,Algoritmo_2,2.451
,,,,
B,2,100,Algoritmo_2,4.149
,,,,
B,2,100,Algoritmo_2,4.258
,,,,
B,2,100,Algoritmo_2,4.189
,,,,
B,2,100,Algoritmo_2,4.165
,,,,
B,2,100,Algoritmo_2,3.569
,,,,
B,2,100,Algoritmo_2,4.141
,,,,
B,2,100,Algoritmo_2,4.220
,,,,
B,2,100,Algoritmo_2,4.381
,,,,
B,2,100,Algoritmo_2,3.523
,,,,
B,4,100,Algoritmo_2,2.194
,,,,
B,4,100,Algoritmo_2,2.024
,,,,
B,4,100,Algoritmo_2,2.126
,,,,
B,4,100,Algoritmo_2,2.174
,,,,
B,4,100,Algoritmo_2,2.192
,,,,
B,4,100,Algoritmo_2,2.181
,,,,
B,4,100,Algoritmo_2,2.264
,,,,
B,4,100,Algoritmo_2,2.485
,,,,
B,4,100,Algoritmo_2,2.491
,,,,
B,4,100,Algoritmo_2,2.322
,,,,
B,4,100,Algoritmo_2,2.264
,,,,
B,4,100,Algoritmo_2,2.149
,,,,
B,4,100,Algoritmo_2,2.318
,,,,
B,4,100,Algoritmo_2,2.174
,,,,
B,4,100,Algoritmo_2,2.166
,,,,
B,4,100,Algoritmo_2,2.341
,,,,
B,4,100,Algoritmo_2,2.180
,,,,
B,4,100,Algoritmo_2,2.019
,,,,
B,4,100,Algoritmo_2,2.098
,,,,
B,4,100,Algoritmo_2,2.489
,,,,
B,4,100,Algoritmo_2,2.354
,,,,
B,4,100,Algoritmo_2,2.381
,,,,
B,4,100,Algoritmo_2,2.112
,,,,
B,4,100,Algoritmo_2,2.258
,,,,
B,4,100,Algoritmo_2,2.189
,,,,
B,4,100,Algoritmo_2,2.159
,,,,
B,4,100,Algoritmo_2,2.181
,,,,
B,4,100,Algoritmo_2,2.240
,,,,
B,4,100,Algoritmo_2,2.163
,,,,
B,4,100,Algoritmo_2,2.202
,,,,
B,4,100,Algoritmo_2,2.161
,,,,
B,4,100,Algoritmo_2,2.220
,,,,
B,4,100,Algoritmo_2,2.313
,,,,
B,4,100,Algoritmo_2,2.181
,,,,
B,4,100,Algoritmo_2,2.179
,,,,
B,4,100,Algoritmo_2,2.174
,,,,
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,8,100,Algoritmo_2,0
B,1,100,Algoritmo_3,7.168
,,,,
B,1,100,Algoritmo_3,5.056
,,,,
B,1,100,Algoritmo_3,5.590
,,,,
B,1,100,Algoritmo_3,6.637
,,,,
B,1,100,Algoritmo_3,5.128
,,,,
B,1,100,Algoritmo_3,5.115
,,,,
B,1,100,Algoritmo_3,5.071
,,,,
B,1,100,Algoritmo_3,5.059
,,,,
B,1,100,Algoritmo_3,5.064
,,,,
B,1,100,Algoritmo_3,5.529
,,,,
B,1,100,Algoritmo_3,5.050
,,,,
B,1,100,Algoritmo_3,5.118
,,,,
B,1,100,Algoritmo_3,5.161
,,,,
B,1,100,Algoritmo_3,5.554
,,,,
B,1,100,Algoritmo_3,5.491
,,,,
B,1,100,Algoritmo_3,6.901
,,,,
B,1,100,Algoritmo_3,4.971
,,,,
B,1,100,Algoritmo_3,4.958
,,,,
B,1,100,Algoritmo_3,7.530
,,,,
B,1,100,Algoritmo_3,5.562
,,,,
B,1,100,Algoritmo_3,5.626
,,,,
B,1,100,Algoritmo_3,7.829
,,,,
B,1,100,Algoritmo_3,7.987
,,,,
B,1,100,Algoritmo_3,5.102
,,,,
B,1,100,Algoritmo_3,5.423
,,,,
B,1,100,Algoritmo_3,5.044
,,,,
B,1,100,Algoritmo_3,5.026
,,,,
B,1,100,Algoritmo_3,5.540
,,,,
B,1,100,Algoritmo_3,4.982
,,,,
B,1,100,Algoritmo_3,5.636
,,,,
B,1,100,Algoritmo_3,8.286
,,,,
B,1,100,Algoritmo_3,7.506
,,,,
B,1,100,Algoritmo_3,5.148
,,,,
B,1,100,Algoritmo_3,5.116
,,,,
B,1,100,Algoritmo_3,7.701
,,,,
B,1,100,Algoritmo_3,8.425
,,,,
B,2,100,Algoritmo_3,4.618
,,,,
B,2,100,Algoritmo_3,3.751
,,,,
B,2,100,Algoritmo_3,4.202
,,,,
B,2,100,Algoritmo_3,4.264
,,,,
B,2,100,Algoritmo_3,4.483
,,,,
B,2,100,Algoritmo_3,4.183
,,,,
B,2,100,Algoritmo_3,4.793
,,,,
B,2,100,Algoritmo_3,4.333
,,,,
B,2,100,Algoritmo_3,4.384
,,,,
B,2,100,Algoritmo_3,3.993
,,,,
B,2,100,Algoritmo_3,4.351
,,,,
B,2,100,Algoritmo_3,4.524
,,,,
B,2,100,Algoritmo_3,4.435
,,,,
B,2,100,Algoritmo_3,3.421
,,,,
B,2,100,Algoritmo_3,3.484
,,,,
B,2,100,Algoritmo_3,4.252
,,,,
B,2,100,Algoritmo_3,4.125
,,,,
B,2,100,Algoritmo_3,3.809
,,,,
B,2,100,Algoritmo_3,3.896
,,,,
B,2,100,Algoritmo_3,4.117
,,,,
B,2,100,Algoritmo_3,4.270
,,,,
B,2,100,Algoritmo_3,4.232
,,,,
B,2,100,Algoritmo_3,3.836
,,,,
B,2,100,Algoritmo_3,4.346
,,,,
B,2,100,Algoritmo_3,4.279
,,,,
B,2,100,Algoritmo_3,4.263
,,,,
B,2,100,Algoritmo_3,4.045
,,,,
B,2,100,Algoritmo_3,4.318
,,,,
B,2,100,Algoritmo_3,4.077
,,,,
B,2,100,Algoritmo_3,4.332
,,,,
B,2,100,Algoritmo_3,4.780
,,,,
B,2,100,Algoritmo_3,4.618
,,,,
B,2,100,Algoritmo_3,4.363
,,,,
B,2,100,Algoritmo_3,4.118
,,,,
B,2,100,Algoritmo_3,4.484
,,,,
B,2,100,Algoritmo_3,4.258
,,,,
B,4,100,Algoritmo_3,2.537
,,,,
B,4,100,Algoritmo_3,2.425
,,,,
B,4,100,Algoritmo_3,2.640
,,,,
B,4,100,Algoritmo_3,2.505
,,,,
B,4,100,Algoritmo_3,2.467
,,,,
B,4,100,Algoritmo_3,2.227
,,,,
B,4,100,Algoritmo_3,2.293
,,,,
B,4,100,Algoritmo_3,2.496
,,,,
B,4,100,Algoritmo_3,2.553
,,,,
B,4,100,Algoritmo_3,2.377
,,,,
B,4,100,Algoritmo_3,2.000
,,,,
B,4,100,Algoritmo_3,2.684
,,,,
B,4,100,Algoritmo_3,2.143
,,,,
B,4,100,Algoritmo_3,2.517
,,,,
B,4,100,Algoritmo_3,2.262
,,,,
B,4,100,Algoritmo_3,2.178
,,,,
B,4,100,Algoritmo_3,2.506
,,,,
B,4,100,Algoritmo_3,2.508
,,,,
B,4,100,Algoritmo_3,2.487
,,,,
B,4,100,Algoritmo_3,2.521
,,,,
B,4,100,Algoritmo_3,2.512
,,,,
B,4,100,Algoritmo_3,2.496
,,,,
B,4,100,Algoritmo_3,2.800
,,,,
B,4,100,Algoritmo_3,1.974
,,,,
B,4,100,Algoritmo_3,3.822
,,,,
B,4,100,Algoritmo_3,2.469
,,,,
B,4,100,Algoritmo_3,2.319
,,,,
B,4,100,Algoritmo_3,2.094
,,,,
B,4,100,Algoritmo_3,2.433
,,,,
B,4,100,Algoritmo_3,2.107
,,,,
B,4,100,Algoritmo_3,2.448
,,,,
B,4,100,Algoritmo_3,2.178
,,,,
B,4,100,Algoritmo_3,2.444
,,,,
B,4,100,Algoritmo_3,2.500
,,,,
B,4,100,Algoritmo_3,2.426
,,,,
B,4,100,Algoritmo_3,2.347
,,,,
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,8,100,Algoritmo_3,0
B,1,200,Algoritmo_1,37.513
,,,,
B,1,200,Algoritmo_1,36.793
,,,,
B,1,200,Algoritmo_1,36.720
,,,,
B,1,200,Algoritmo_1,36.842
,,,,
B,1,200,Algoritmo_1,36.829
,,,,
B,1,200,Algoritmo_1,36.906
,,,,
B,1,200,Algoritmo_1,41.772
,,,,
B,1,200,Algoritmo_1,40.300
,,,,
B,1,200,Algoritmo_1,37.946
,,,,
B,1,200,Algoritmo_1,40.751
,,,,
B,1,200,Algoritmo_1,43.613
,,,,
B,1,200,Algoritmo_1,41.177
,,,,
B,1,200,Algoritmo_1,40.047
,,,,
B,1,200,Algoritmo_1,37.961
,,,,
B,1,200,Algoritmo_1,38.131
,,,,
B,1,200,Algoritmo_1,37.917
,,,,
B,1,200,Algoritmo_1,37.693
,,,,
B,1,200,Algoritmo_1,37.953
,,,,
B,1,200,Algoritmo_1,40.495
,,,,
B,1,200,Algoritmo_1,40.033
,,,,
B,1,200,Algoritmo_1,42.306
,,,,
B,1,200,Algoritmo_1,39.310
,,,,
B,1,200,Algoritmo_1,42.669
,,,,
B,1,200,Algoritmo_1,41.101
,,,,
B,1,200,Algoritmo_1,40.132
,,,,
B,1,200,Algoritmo_1,41.198
,,,,
B,1,200,Algoritmo_1,38.170
,,,,
B,1,200,Algoritmo_1,37.852
,,,,
B,1,200,Algoritmo_1,37.878
,,,,
B,1,200,Algoritmo_1,37.792
,,,,
B,1,200,Algoritmo_1,40.516
,,,,
B,1,200,Algoritmo_1,39.077
,,,,
B,1,200,Algoritmo_1,37.975
,,,,
B,1,200,Algoritmo_1,38.226
,,,,
B,1,200,Algoritmo_1,37.595
,,,,
B,1,200,Algoritmo_1,40.080
,,,,
B,2,200,Algoritmo_1,21.272
,,,,
B,2,200,Algoritmo_1,23.138
,,,,
B,2,200,Algoritmo_1,25.101
,,,,
B,2,200,Algoritmo_1,22.929
,,,,
B,2,200,Algoritmo_1,21.698
,,,,
B,2,200,Algoritmo_1,19.068
,,,,
B,2,200,Algoritmo_1,23.087
,,,,
B,2,200,Algoritmo_1,24.357
,,,,
B,2,200,Algoritmo_1,21.882
,,,,
B,2,200,Algoritmo_1,22.479
,,,,
B,2,200,Algoritmo_1,23.230
,,,,
B,2,200,Algoritmo_1,22.659
,,,,
B,2,200,Algoritmo_1,23.288
,,,,
B,2,200,Algoritmo_1,23.056
,,,,
B,2,200,Algoritmo_1,23.389
,,,,
B,2,200,Algoritmo_1,23.259
,,,,
B,2,200,Algoritmo_1,23.369
,,,,
B,2,200,Algoritmo_1,22.551
,,,,
B,2,200,Algoritmo_1,25.234
,,,,
B,2,200,Algoritmo_1,24.061
,,,,
B,2,200,Algoritmo_1,23.663
,,,,
B,2,200,Algoritmo_1,21.756
,,,,
B,2,200,Algoritmo_1,22.598
,,,,
B,2,200,Algoritmo_1,22.495
,,,,
B,2,200,Algoritmo_1,24.626
,,,,
B,2,200,Algoritmo_1,21.122
,,,,
B,2,200,Algoritmo_1,23.819
,,,,
B,2,200,Algoritmo_1,22.401
,,,,
B,2,200,Algoritmo_1,19.005
,,,,
B,2,200,Algoritmo_1,19.137
,,,,
B,2,200,Algoritmo_1,19.069
,,,,
B,2,200,Algoritmo_1,19.025
,,,,
B,2,200,Algoritmo_1,19.138
,,,,
B,2,200,Algoritmo_1,19.210
,,,,
B,2,200,Algoritmo_1,21.643
,,,,
B,2,200,Algoritmo_1,22.713
,,,,
B,4,200,Algoritmo_1,15.772
,,,,
B,4,200,Algoritmo_1,14.956
,,,,
B,4,200,Algoritmo_1,11.192
,,,,
B,4,200,Algoritmo_1,14.103
,,,,
B,4,200,Algoritmo_1,15.021
,,,,
B,4,200,Algoritmo_1,13.471
,,,,
B,4,200,Algoritmo_1,14.478
,,,,
B,4,200,Algoritmo_1,11.658
,,,,
B,4,200,Algoritmo_1,14.222
,,,,
B,4,200,Algoritmo_1,14.531
,,,,
B,4,200,Algoritmo_1,14.225
,,,,
B,4,200,Algoritmo_1,10.228
,,,,
B,4,200,Algoritmo_1,15.188
,,,,
B,4,200,Algoritmo_1,14.859
,,,,
B,4,200,Algoritmo_1,12.973
,,,,
B,4,200,Algoritmo_1,15.126
,,,,
B,4,200,Algoritmo_1,15.917
,,,,
B,4,200,Algoritmo_1,14.861
,,,,
B,4,200,Algoritmo_1,15.278
,,,,
B,4,200,Algoritmo_1,14.512
,,,,
B,4,200,Algoritmo_1,13.238
,,,,
B,4,200,Algoritmo_1,10.747
,,,,
B,4,200,Algoritmo_1,14.774
,,,,
B,4,200,Algoritmo_1,14.492
,,,,
B,4,200,Algoritmo_1,13.879
,,,,
B,4,200,Algoritmo_1,14.299
,,,,
B,4,200,Algoritmo_1,13.207
,,,,
B,4,200,Algoritmo_1,13.893
,,,,
B,4,200,Algoritmo_1,13.038
,,,,
B,4,200,Algoritmo_1,14.417
,,,,
B,4,200,Algoritmo_1,13.285
,,,,
B,4,200,Algoritmo_1,13.753
,,,,
B,4,200,Algoritmo_1,14.081
,,,,
B,4,200,Algoritmo_1,13.795
,,,,
B,4,200,Algoritmo_1,13.565
,,,,
B,4,200,Algoritmo_1,15.003
,,,,
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
B,8,200,Algoritmo_1,0
